id,name,created_at,updated_at
1,Afghanistan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
2,Aland Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
3,Albania,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
4,Algeria,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
5,American Samoa,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
6,Andorra,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
7,Angola,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
8,Anguilla,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
9,Antarctica,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
10,Antigua And Barbuda,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
11,Argentina,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
12,Armenia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
13,Aruba,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
14,Australia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
15,Austria,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
16,Azerbaijan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
17,The Bahamas,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
18,Bahrain,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
19,Bangladesh,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
20,Barbados,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
21,Belarus,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
22,Belgium,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
23,Belize,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
24,Benin,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
25,Bermuda,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
26,Bhutan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
27,Bolivia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
28,Bosnia and Herzegovina,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
29,Botswana,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
30,Bouvet Island,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
31,Brazil,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
32,British Indian Ocean Territory,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
33,Brunei,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
34,Bulgaria,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
35,Burkina Faso,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
36,Burundi,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
37,Cambodia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
38,Cameroon,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
39,Canada,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
40,Cape Verde,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
41,Cayman Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
42,Central African Republic,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
43,Chad,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
44,Chile,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
45,China,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
46,Christmas Island,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
47,Cocos (Keeling) Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
48,Colombia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
49,Comoros,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
50,Congo,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
51,The Democratic Republic Of Congo,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
52,Cook Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
53,Costa Rica,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
54,Cote D'Ivoire (Ivory Coast),2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
55,Croatia (Hrvatska),2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
56,Cuba,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
57,Cyprus,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
58,Czech Republic,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
59,Denmark,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
60,Djibouti,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
61,Dominica,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
62,Dominican Republic,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
63,East Timor,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
64,Ecuador,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
65,Egypt,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
66,El Salvador,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
67,Equatorial Guinea,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
68,Eritrea,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
69,Estonia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
70,Ethiopia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
71,Falkland Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
72,Faroe Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
73,Fiji Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
74,Finland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
75,France,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
76,French Guiana,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
77,French Polynesia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
78,French Southern Territories,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
79,Gabon,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
80,Gambia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
81,Georgia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
82,Germany,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
83,Ghana,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
84,Gibraltar,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
85,Greece,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
86,Greenland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
87,Grenada,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
88,Guadeloupe,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
89,Guam,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
90,Guatemala,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
91,Guernsey and Alderney,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
92,Guinea,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
93,Guinea-Bissau,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
94,Guyana,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
95,Haiti,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
96,Heard and McDonald Islands,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
97,Honduras,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
98,Hong Kong S.A.R.,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
99,Hungary,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
100,Iceland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
101,India,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
102,Indonesia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
103,Iran,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
104,Iraq,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
105,Ireland,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
106,Israel,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
107,Italy,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
108,Jamaica,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
109,Japan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
110,Jersey,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
111,Jordan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
112,Kazakhstan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
113,Kenya,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
114,Kiribati,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
115,Korea North,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
116,Korea South,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
117,Kuwait,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
118,Kyrgyzstan,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
119,Laos,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
120,Latvia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
121,Lebanon,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
122,Lesotho,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
123,Liberia,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
124,Libya,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
125,Liechtenstein,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
