id,name,country_id,created_at,updated_at
1,"Southern Nations, Nationalities, and Peoples' Region",70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
2,Somali Region,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
3,Amhara Region,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
4,Tigray Region,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
5,Oromia Region,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
6,Afar Region,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
7,Harari Region,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
8,Dire Dawa,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
9,Benishangul-Gumuz Region,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
10,Gambela Region,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
11,Addis Ababa,70,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
12,Petnjica Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
13,Bar Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
14,Danilovgrad Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
15,Rožaje Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
16,Plužine Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
17,Nikšić Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
18,Šavnik Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
19,Plav Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
20,Pljevlja Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
21,Berane Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
22,Mojkovac Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
23,Andrijevica Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
24,Gusinje Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
25,Bijelo Polje Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
26,Kotor Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
27,Podgorica Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
28,Old Royal Capital Cetinje,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
29,Tivat Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
30,Budva Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
31,Kolašin Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
32,Žabljak Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
33,Ulcinj Municipality,147,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
34,Kunene Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
35,Kavango West Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
36,Kavango East Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
37,Oshana Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
38,Hardap Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
39,Omusati Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
40,Ohangwena Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
41,Omaheke Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
42,Oshikoto Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
43,Erongo Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
44,Khomas Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
45,Karas Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
46,Otjozondjupa Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
47,Zambezi Region,152,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
48,Ashanti Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
49,Western Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
50,Eastern Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
51,Northern Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
52,Central Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
53,Brong-Ahafo Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
54,Greater Accra Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
55,Upper East Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
56,Volta Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
57,Upper West Region,83,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
58,San Marino,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
59,Acquaviva,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
60,Chiesanuova,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
61,Borgo Maggiore,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
62,Faetano,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
63,Montegiardino,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
64,Domagnano,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
65,Serravalle,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
66,Fiorentino,192,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
67,Tillabéri Region,160,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
68,Dosso Region,160,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
69,Zinder Region,160,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
70,Maradi Region,160,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
71,Agadez Region,160,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
72,Diffa Region,160,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
73,Tahoua Region,160,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
74,Mqabba,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
75,San Ġwann,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
76,Żurrieq,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
77,Luqa,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
78,Marsaxlokk,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
79,Qala,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
80,Żebbuġ Malta,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
81,Xgħajra,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
82,Kirkop,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
83,Rabat,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
84,Floriana,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
85,Żebbuġ Gozo,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
86,Swieqi,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
87,Saint Lawrence,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
88,Birżebbuġa,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
89,Mdina,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
90,Santa Venera,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
91,Kerċem,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
92,Għarb,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
93,Iklin,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
94,Santa Luċija,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
95,Valletta,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
96,Msida,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
97,Birkirkara,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
98,Siġġiewi,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
99,Kalkara,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
100,St. Julian's,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
101,Victoria,135,2026-08-07T20:57:20+00:00,2026-08-07T20:57:20+00:00
